Country,iso3c,Daily waste generation per capita
South Sudan,SSD,0.6570644667854156
São Tomé and Príncipe,STP,0.3665052858322964
Suriname,SUR,0.40941927721377747
Slovak Republic,SVK,1.153424666073799
Slovenia,SVN,1.3808218731946684
Sweden,SWE,1.2301370137373788
Eswatini,SWZ,0.4450954190411181
Seychelles,SYC,1.4892681937767518
Syrian Arab Republic,SYR,0.5920206992328062
Chad,TCD,0.31318372181978243
Togo,TGO,0.4203175150131238
Thailand,THA,1.07156186282982
Tajikistan,TJK,0.5988139734456825
Turkmenistan,TKM,0.25527251271200313
Timor-Leste,TLS,0.1379396234327103
Tonga,TON,0.45
Trinidad and Tobago,TTO,1.5015249924446603
Tunisia,TUN,0.6637940903651217
Turkey,TUR,1.161643796735334
Tuvalu,TUV,0.9849598990718212
,TWN,0.8576696311763379
Tanzania,TZA,0.5178254533919292
Uganda,UGA,0.55
Ukraine,UKR,0.9278814115880958
Uruguay,URY,1.0060861703392519
United States,USA,2.224274173811497
Uzbekistan,UZB,0.36806341364553696
St. Vincent and the Grenadines,VCT,0.79
"Venezuela, RB",VEN,0.896262144951273
Vietnam,VNM,0.301613334557885
Vanuatu,VUT,0.7115280212424465
Samoa,WSM,0.4
Kosovo,XKX,0.4850552795758275
"Yemen, Rep.",YEM,0.48040384999345337
South Africa,ZAF,0.9775449482620462
Zambia,ZMB,0.500950715597757
Zimbabwe,ZWE,0.3177405179119463
